team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
100,US Sassuolo,https://tmssl.akamaized.net/images/wappen/tiny/6574.png?lm=1601389908,/us-sassuolo/startseite/verein/6574/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
101,Udinese Calcio,https://tmssl.akamaized.net/images/wappen/tiny/410.png?lm=1437136398,/udinese-calcio/startseite/verein/410/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
102,AS Monaco,https://tmssl.akamaized.net/images/wappen/tiny/162.png?lm=1654781919,/as-monaco/startseite/verein/162/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
103,Clermont Foot 63,https://tmssl.akamaized.net/images/wappen/tiny/3524.png?lm=1625739356,/clermont-foot-63/startseite/verein/3524/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
104,FC Lorient,https://tmssl.akamaized.net/images/wappen/tiny/1158.png?lm=1406642498,/fc-lorient/startseite/verein/1158/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
105,FC Metz,https://tmssl.akamaized.net/images/wappen/tiny/347.png?lm=1625391843,/fc-metz/startseite/verein/347/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
106,FC Nantes,https://tmssl.akamaized.net/images/wappen/tiny/995.png?lm=1581355747,/fc-nantes/startseite/verein/995/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
107,FC Toulouse,https://tmssl.akamaized.net/images/wappen/tiny/415.png?lm=1530117274,/fc-toulouse/startseite/verein/415/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
108,LOSC Lille,https://tmssl.akamaized.net/images/wappen/tiny/1082.png?lm=1529521041,/losc-lille/startseite/verein/1082/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
109,Le Havre AC,https://tmssl.akamaized.net/images/wappen/tiny/738.png?lm=1408780648,/ac-le-havre/startseite/verein/738/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
110,Montpellier HSC,https://tmssl.akamaized.net/images/wappen/tiny/969.png?lm=1459072367,/montpellier-hsc/startseite/verein/969/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
111,OGC Nice,https://tmssl.akamaized.net/images/wappen/tiny/417.png?lm=1408779490,/ogc-nizza/startseite/verein/417/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
112,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/tiny/1041.png?lm=1656668172,/olympique-lyon/startseite/verein/1041/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
113,Olympique Marseille,https://tmssl.akamaized.net/images/wappen/tiny/244.png?lm=1485642163,/olympique-marseille/startseite/verein/244/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
114,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/tiny/583.png?lm=1522312728,/fc-paris-saint-germain/startseite/verein/583/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
115,RC Lens,https://tmssl.akamaized.net/images/wappen/tiny/826.png?lm=1595457059,/rc-lens/startseite/verein/826/saison_id/2022,5,Ligue One,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
